变形金刚3/Transformers: Dark of the Moon,http://movie.mtime.com/105799/
金陵十三钗/The Flowers of War,http://movie.mtime.com/118999/
功夫熊猫2/Kung Fu Panda 2,http://movie.mtime.com/89824/
哈利·波特与死亡圣器(下)/Harry Potter and the Deathly Hallows: Part 2,http://movie.mtime.com/78592/
猩球崛起/Rise of the Planet of the Apes,http://movie.mtime.com/133404/
建党伟业/Beginning of The Great Revival,http://movie.mtime.com/129119/
那些年，我们一起追的女孩/You Are The Apple Of My Eye,http://movie.mtime.com/135358/
龙门飞甲/Flying Swords of Dragon Gate 3D,http://movie.mtime.com/127800/
单身男女/Don't Go Breaking My Heart,http://movie.mtime.com/126792/
铁甲钢拳/Real Steel,http://movie.mtime.com/119447/
美少女特攻队/Sucker Punch,http://movie.mtime.com/100317/
雷神/Thor,http://movie.mtime.com/83330/
武侠/Wu Xia,http://movie.mtime.com/133551/
战马/War Horse,http://movie.mtime.com/129572/
X战警：第一战/X-Men: First Class,http://movie.mtime.com/92772/
青蜂侠/Green Hornet,http://movie.mtime.com/83331/
迷踪：第九鹰团/The Eagle,http://movie.mtime.com/104891/
关键第4号/I Am Number Four,http://movie.mtime.com/127143/
新少林寺/Shaolin,http://movie.mtime.com/112198/
暮光之城4：破晓（上）/The Twilight Saga: Breaking Dawn - Part 1,http://movie.mtime.com/94154/
战国/The Warring States,http://movie.mtime.com/125860/
白蛇传说/Its Love,http://movie.mtime.com/132429/
桃姐/A Simple Life,http://movie.mtime.com/142351/
观音山/Buddha Mountain,http://movie.mtime.com/112043/
龙纹身的女孩/The Girl with the Dragon Tattoo,http://movie.mtime.com/130716/
兰戈/Rango,http://movie.mtime.com/93881/
绿灯侠/Green Lantern,http://movie.mtime.com/89943/
最强囍事/All's Well Ends Well 2011,http://movie.mtime.com/134509/
时间规划局/In Time,http://movie.mtime.com/133371/
我知女人心/I Know a Woman's Heart,http://movie.mtime.com/132425/
命运规划局/The Adjustment Bureau,http://movie.mtime.com/100894/
名侦探柯南2011：沉默的15分钟/Detective Conan: Quarter of Silence,http://movie.mtime.com/140702/
亲密敌人/Dear Enemy,http://movie.mtime.com/147231/
亡命驾驶/Drive,http://movie.mtime.com/138085/
不求回报/No Strings Attached,http://movie.mtime.com/130141/
宿醉2/The Hangover Part II,http://movie.mtime.com/106272/
超级8/Super 8,http://movie.mtime.com/129920/
雪花秘扇/Snow Flower and the Secret Fan,http://movie.mtime.com/118112/
三个火枪手/The Three Musketeers,http://movie.mtime.com/130087/
万有引力/The Law Of Attraction,http://movie.mtime.com/133646/
一次别离/A Separation,http://movie.mtime.com/143329/
小红帽/Red Riding Hood,http://movie.mtime.com/126159/
狂暴飞车/Drive Angry,http://movie.mtime.com/113984/
朋友也上床/Friends with Benefits,http://movie.mtime.com/131043/
夺命深渊/Sanctum,http://movie.mtime.com/114405/
财神客栈/Treasure Inn,http://movie.mtime.com/130681/
杨门女将之军令如山/Legendary Amazons,http://movie.mtime.com/122847/
全球热恋/Love in Space,http://movie.mtime.com/134506/
点球成金/Moneyball,http://movie.mtime.com/104425/
保罗/Paul,http://movie.mtime.com/80469/
辛亥革命/China 1911,http://movie.mtime.com/131848/
不再让你孤单/A Beautiful Life,http://movie.mtime.com/129495/
我家买了动物园/We Bought a Zoo,http://movie.mtime.com/130467/
帮助/The Help,http://movie.mtime.com/130682/
快乐的大脚2/Happy Feet Two,http://movie.mtime.com/90152/
随波逐流/Just Go with It,http://movie.mtime.com/126413/
伴娘/Bridesmaids,http://movie.mtime.com/135326/
汉娜/Hanna,http://movie.mtime.com/123274/
后人/The Descendants,http://movie.mtime.com/112197/
魁拔之十万火急/kuiba,http://movie.mtime.com/128937/
喜羊羊与灰太狼之兔年顶呱呱/Moon Castle: The Space Adventure,http://movie.mtime.com/139725/
隐婚男女/Mr. & Mrs. Single,http://movie.mtime.com/138700/
人狼大战/The Grey,http://movie.mtime.com/144301/
转山/One Mile Above,http://movie.mtime.com/142950/
胡佛/J. Edgar,http://movie.mtime.com/131188/
李献计历险记/Lee's Adventures,http://movie.mtime.com/136204/
我爱HK开心万岁/I Love Hong Kong,http://movie.mtime.com/138240/
幸福额度/Love on Credit,http://movie.mtime.com/148028/
野兽男孩/Beastly,http://movie.mtime.com/104911/
肩上蝶/Rest On Your Shoulder,http://movie.mtime.com/119277/
巨额交易/A Big Deal,http://movie.mtime.com/138992/
牛仔和外星人/Cowboys & Aliens,http://movie.mtime.com/82986/
波普先生的企鹅/Mr. Popper's Penguins,http://movie.mtime.com/127240/
赛德克·巴莱（上）太阳旗/Seediq Bale,http://movie.mtime.com/113100/
坏老师/Bad Teacher,http://movie.mtime.com/122099/
在劫难逃/Abduction,http://movie.mtime.com/125234/
虞美人盛开的山坡/From Kokuriko Hill,http://movie.mtime.com/141086/
Hello！树先生/Mr. Tree,http://movie.mtime.com/118278/
巴黎宝贝/Perfect Baby,http://movie.mtime.com/139726/
林肯律师/The Lincoln Lawyer,http://movie.mtime.com/116277/
"B区32号/No.32,B District",http://movie.mtime.com/140586/
紫宅/The Purple House,http://movie.mtime.com/147324/
极速天使/Speed Angels,http://movie.mtime.com/140130/
杀手欧阳盆栽/The Killer Who Never Kills,http://movie.mtime.com/125330/
大象的眼泪/Water for Elephants,http://movie.mtime.com/123749/
追逐星星的孩子/Children Who Chase Lost Voices from Deep Below,http://movie.mtime.com/139551/
我们约会吧/Somebody to Love,http://movie.mtime.com/131582/
夏日乐悠悠/Love You You,http://movie.mtime.com/150164/
遍地狼烟/Cold Steel,http://movie.mtime.com/136181/
